class,filepath
n01440764,/home/tonglab/Datasets/ILSVRC2012/val/n01440764/ILSVRC2012_val_00000293.jpg
n01440764,/home/tonglab/Datasets/ILSVRC2012/val/n01440764/ILSVRC2012_val_00002138.jpg
n01443537,/home/tonglab/Datasets/ILSVRC2012/val/n01443537/ILSVRC2012_val_00000236.jpg
n01443537,/home/tonglab/Datasets/ILSVRC2012/val/n01443537/ILSVRC2012_val_00000262.jpg
n01484850,/home/tonglab/Datasets/ILSVRC2012/val/n01484850/ILSVRC2012_val_00002338.jpg
n01484850,/home/tonglab/Datasets/ILSVRC2012/val/n01484850/ILSVRC2012_val_00002752.jpg
n01491361,/home/tonglab/Datasets/ILSVRC2012/val/n01491361/ILSVRC2012_val_00002922.jpg
n01491361,/home/tonglab/Datasets/ILSVRC2012/val/n01491361/ILSVRC2012_val_00002969.jpg
n01494475,/home/tonglab/Datasets/ILSVRC2012/val/n01494475/ILSVRC2012_val_00001676.jpg
n01494475,/home/tonglab/Datasets/ILSVRC2012/val/n01494475/ILSVRC2012_val_00003558.jpg
n01496331,/home/tonglab/Datasets/ILSVRC2012/val/n01496331/ILSVRC2012_val_00000921.jpg
n01496331,/home/tonglab/Datasets/ILSVRC2012/val/n01496331/ILSVRC2012_val_00002207.jpg
n01498041,/home/tonglab/Datasets/ILSVRC2012/val/n01498041/ILSVRC2012_val_00001935.jpg
n01498041,/home/tonglab/Datasets/ILSVRC2012/val/n01498041/ILSVRC2012_val_00002284.jpg
n01514668,/home/tonglab/Datasets/ILSVRC2012/val/n01514668/ILSVRC2012_val_00000329.jpg
n01514668,/home/tonglab/Datasets/ILSVRC2012/val/n01514668/ILSVRC2012_val_00000911.jpg
n01514859,/home/tonglab/Datasets/ILSVRC2012/val/n01514859/ILSVRC2012_val_00001114.jpg
n01514859,/home/tonglab/Datasets/ILSVRC2012/val/n01514859/ILSVRC2012_val_00001368.jpg
n01518878,/home/tonglab/Datasets/ILSVRC2012/val/n01518878/ILSVRC2012_val_00001031.jpg
n01518878,/home/tonglab/Datasets/ILSVRC2012/val/n01518878/ILSVRC2012_val_00001398.jpg
n01530575,/home/tonglab/Datasets/ILSVRC2012/val/n01530575/ILSVRC2012_val_00000651.jpg
n01530575,/home/tonglab/Datasets/ILSVRC2012/val/n01530575/ILSVRC2012_val_00000747.jpg
n01531178,/home/tonglab/Datasets/ILSVRC2012/val/n01531178/ILSVRC2012_val_00000570.jpg
n01531178,/home/tonglab/Datasets/ILSVRC2012/val/n01531178/ILSVRC2012_val_00001274.jpg
n01532829,/home/tonglab/Datasets/ILSVRC2012/val/n01532829/ILSVRC2012_val_00000873.jpg
n01532829,/home/tonglab/Datasets/ILSVRC2012/val/n01532829/ILSVRC2012_val_00001556.jpg
n01534433,/home/tonglab/Datasets/ILSVRC2012/val/n01534433/ILSVRC2012_val_00000247.jpg
n01534433,/home/tonglab/Datasets/ILSVRC2012/val/n01534433/ILSVRC2012_val_00000713.jpg
n01537544,/home/tonglab/Datasets/ILSVRC2012/val/n01537544/ILSVRC2012_val_00000414.jpg
n01537544,/home/tonglab/Datasets/ILSVRC2012/val/n01537544/ILSVRC2012_val_00001462.jpg
n01558993,/home/tonglab/Datasets/ILSVRC2012/val/n01558993/ILSVRC2012_val_00001598.jpg
n01558993,/home/tonglab/Datasets/ILSVRC2012/val/n01558993/ILSVRC2012_val_00002825.jpg
n01560419,/home/tonglab/Datasets/ILSVRC2012/val/n01560419/ILSVRC2012_val_00000198.jpg
