class,filepath
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_1001.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10024.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10029.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10030.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10057.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_1006.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10060.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10081.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10107.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10113.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10132.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10134.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_1016.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10175.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10180.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10200.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10212.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_1023.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10236.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_1024.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10264.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10281.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10284.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_1029.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10301.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10309.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_1031.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10318.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10324.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10326.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10344.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10345.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10352.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10375.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10385.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10391.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10404.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10412.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10420.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10422.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10423.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10428.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10445.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10461.jpg
bear,/home/tonglab/Datasets/ILSVRC2012/train/n02132136/n02132136_10463.jpg
